donem,deger,kaynak,not
2016-01-01,1935.23,Asgari Ücret Tespit Komisyonu Kararı — https://www.csgb.gov.tr/asgari-ucret/,"Brüt × 1,175 (SGK işveren payı %15,5 — 5 puanlık indirim uygulanmış — + işsizlik sigortası işveren payı %2). Hazine desteği düşülmemiştir."
2017-01-01,2088.56,Asgari Ücret Tespit Komisyonu Kararı — https://www.csgb.gov.tr/asgari-ucret/,"Brüt × 1,175 (SGK işveren payı %15,5 — 5 puanlık indirim uygulanmış — + işsizlik sigortası işveren payı %2). Hazine desteği düşülmemiştir."
2018-01-01,2384.66,Asgari Ücret Tespit Komisyonu Kararı — https://www.csgb.gov.tr/asgari-ucret/,"Brüt × 1,175 (SGK işveren payı %15,5 — 5 puanlık indirim uygulanmış — + işsizlik sigortası işveren payı %2). Hazine desteği düşülmemiştir."
2019-01-01,3006.12,Asgari Ücret Tespit Komisyonu Kararı — https://www.csgb.gov.tr/asgari-ucret/,"Brüt × 1,175 (SGK işveren payı %15,5 — 5 puanlık indirim uygulanmış — + işsizlik sigortası işveren payı %2). Hazine desteği düşülmemiştir."
2020-01-01,3458.03,Asgari Ücret Tespit Komisyonu Kararı — https://www.csgb.gov.tr/asgari-ucret/,"Brüt × 1,175 (SGK işveren payı %15,5 — 5 puanlık indirim uygulanmış — + işsizlik sigortası işveren payı %2). Hazine desteği düşülmemiştir."
2021-01-01,4203.56,Asgari Ücret Tespit Komisyonu Kararı — https://www.csgb.gov.tr/asgari-ucret/,"Brüt × 1,175 (SGK işveren payı %15,5 — 5 puanlık indirim uygulanmış — + işsizlik sigortası işveren payı %2). Hazine desteği düşülmemiştir."
2022-01-01,5879.70,Asgari Ücret Tespit Komisyonu Kararı — https://www.csgb.gov.tr/asgari-ucret/,"Brüt × 1,175 (SGK işveren payı %15,5 — 5 puanlık indirim uygulanmış — + işsizlik sigortası işveren payı %2). Hazine desteği düşülmemiştir."
2022-07-01,7603.43,Asgari Ücret Tespit Komisyonu Kararı — https://www.csgb.gov.tr/asgari-ucret/,"Brüt × 1,175 (SGK işveren payı %15,5 — 5 puanlık indirim uygulanmış — + işsizlik sigortası işveren payı %2). Hazine desteği düşülmemiştir."
2023-01-01,11759.40,Asgari Ücret Tespit Komisyonu Kararı — https://www.csgb.gov.tr/asgari-ucret/,"Brüt × 1,175 (SGK işveren payı %15,5 — 5 puanlık indirim uygulanmış — + işsizlik sigortası işveren payı %2). Hazine desteği düşülmemiştir."
2023-07-01,15762.04,Asgari Ücret Tespit Komisyonu Kararı — https://www.csgb.gov.tr/asgari-ucret/,"Brüt × 1,175 (SGK işveren payı %15,5 — 5 puanlık indirim uygulanmış — + işsizlik sigortası işveren payı %2). Hazine desteği düşülmemiştir."
2024-01-01,23502.94,Asgari Ücret Tespit Komisyonu Kararı — https://www.csgb.gov.tr/asgari-ucret/,"Brüt × 1,175 (SGK işveren payı %15,5 — 5 puanlık indirim uygulanmış — + işsizlik sigortası işveren payı %2). Hazine desteği düşülmemiştir."
2025-01-01,30556.46,Asgari Ücret Tespit Komisyonu Kararı — https://www.csgb.gov.tr/asgari-ucret/,"Brüt × 1,175 (SGK işveren payı %15,5 — 5 puanlık indirim uygulanmış — + işsizlik sigortası işveren payı %2). Hazine desteği düşülmemiştir."
