donem,deger,kaynak,not
2016-01-01,1647.00,Asgari Ücret Tespit Komisyonu Kararı — https://www.csgb.gov.tr/asgari-ucret/,1 Ocak 2016'dan geçerli brüt aylık asgari ücret (16+ yaş)
2017-01-01,1777.50,Asgari Ücret Tespit Komisyonu Kararı — https://www.csgb.gov.tr/asgari-ucret/,1 Ocak 2017'den geçerli
2018-01-01,2029.50,Asgari Ücret Tespit Komisyonu Kararı — https://www.csgb.gov.tr/asgari-ucret/,1 Ocak 2018'den geçerli
2019-01-01,2558.40,Asgari Ücret Tespit Komisyonu Kararı — https://www.csgb.gov.tr/asgari-ucret/,1 Ocak 2019'dan geçerli
2020-01-01,2943.00,Asgari Ücret Tespit Komisyonu Kararı — https://www.csgb.gov.tr/asgari-ucret/,1 Ocak 2020'den geçerli
2021-01-01,3577.50,Asgari Ücret Tespit Komisyonu Kararı — https://www.csgb.gov.tr/asgari-ucret/,1 Ocak 2021'den geçerli
2022-01-01,5004.00,Asgari Ücret Tespit Komisyonu Kararı — https://www.csgb.gov.tr/asgari-ucret/,1 Ocak 2022'den geçerli
2022-07-01,6471.00,Asgari Ücret Tespit Komisyonu Kararı — https://www.csgb.gov.tr/asgari-ucret/,Yıl içi ek artış — 1 Temmuz 2022'den geçerli
2023-01-01,10008.00,Asgari Ücret Tespit Komisyonu Kararı — https://www.csgb.gov.tr/asgari-ucret/,1 Ocak 2023'ten geçerli
2023-07-01,13414.50,Asgari Ücret Tespit Komisyonu Kararı — https://www.csgb.gov.tr/asgari-ucret/,Yıl içi ek artış — 1 Temmuz 2023'ten geçerli
2024-01-01,20002.50,Asgari Ücret Tespit Komisyonu Kararı — https://www.csgb.gov.tr/asgari-ucret/,1 Ocak 2024'ten geçerli
2025-01-01,26005.50,Asgari Ücret Tespit Komisyonu Kararı — https://www.csgb.gov.tr/asgari-ucret/,1 Ocak 2025'ten geçerli
