donem,deger,kaynak,not
2016-01-01,1300.99,Asgari Ücret Tespit Komisyonu Kararı — https://www.csgb.gov.tr/asgari-ucret/,Bekâr ve çocuksuz çalışan için ilan edilen net tutar
2017-01-01,1404.06,Asgari Ücret Tespit Komisyonu Kararı — https://www.csgb.gov.tr/asgari-ucret/,Bekâr ve çocuksuz
2018-01-01,1603.12,Asgari Ücret Tespit Komisyonu Kararı — https://www.csgb.gov.tr/asgari-ucret/,Bekâr ve çocuksuz
2019-01-01,2020.90,Asgari Ücret Tespit Komisyonu Kararı — https://www.csgb.gov.tr/asgari-ucret/,Bekâr ve çocuksuz
2020-01-01,2324.71,Asgari Ücret Tespit Komisyonu Kararı — https://www.csgb.gov.tr/asgari-ucret/,Bekâr ve çocuksuz
2021-01-01,2825.90,Asgari Ücret Tespit Komisyonu Kararı — https://www.csgb.gov.tr/asgari-ucret/,Bekâr ve çocuksuz
2022-01-01,4253.40,Asgari Ücret Tespit Komisyonu Kararı — https://www.csgb.gov.tr/asgari-ucret/,2022'den itibaren asgari ücret gelir ve damga vergisinden istisna
2022-07-01,5500.35,Asgari Ücret Tespit Komisyonu Kararı — https://www.csgb.gov.tr/asgari-ucret/,Yıl içi ek artış
2023-01-01,8506.80,Asgari Ücret Tespit Komisyonu Kararı — https://www.csgb.gov.tr/asgari-ucret/,1 Ocak 2023'ten geçerli
2023-07-01,11402.32,Asgari Ücret Tespit Komisyonu Kararı — https://www.csgb.gov.tr/asgari-ucret/,Yıl içi ek artış
2024-01-01,17002.12,Asgari Ücret Tespit Komisyonu Kararı — https://www.csgb.gov.tr/asgari-ucret/,1 Ocak 2024'ten geçerli
2025-01-01,22104.67,Asgari Ücret Tespit Komisyonu Kararı — https://www.csgb.gov.tr/asgari-ucret/,1 Ocak 2025'ten geçerli
